"date","pr","tas","tasrange","tasskew"
1987-03-29,4.16580678574974e-06,281.379272460938,8.1312255859375,0.619702458381653
1987-03-30,1.12035859274329e-05,276.40869140625,6.40594482421875,0.453446716070175
1987-03-31,2.06708091354812e-06,276.111694335938,8.10479736328125,0.46880766749382
1987-04-01,7.62888084864244e-05,278.470672607422,7.14923095703125,0.503077685832977
1987-04-02,8.15810781205073e-05,282.009155273438,4.22235107421875,0.363593012094498
1987-04-03,1.4981232197897e-05,278.172302246094,7.71780395507812,0.706860899925232
1987-04-04,9.67515097727301e-06,276.894836425781,11.6619873046875,0.59975403547287
1987-04-05,4.82198884128593e-05,277.000244140625,4.661865234375,0.519278585910797
1987-04-06,2.36367850448005e-06,278.463165283203,4.23788452148438,0.464120358228683
1987-04-07,4.14180867664982e-05,280.308258056641,9.01959228515625,0.60230278968811
1987-04-08,1.04922337413882e-05,279.865325927734,4.70388793945312,0.69830733537674
1987-04-09,1.78348482648971e-08,278.824066162109,10.2894287109375,0.498428076505661
1987-04-10,7.03706464264542e-05,281.367218017578,12.3161010742188,0.577485144138336
1987-04-11,5.62184177397285e-05,286.798461914062,10.0549011230469,0.502092719078064
1987-04-12,9.66369680099888e-06,283.860107421875,6.54638671875,0.361042737960815
1987-04-13,2.38263492065016e-05,286.708984375,10.7633361816406,0.574360728263855
1987-04-14,5.57747553102672e-05,286.502746582031,7.752197265625,0.56839120388031
1987-04-15,6.44388201180845e-05,285.302581787109,7.13034057617188,0.506785869598389
1987-04-16,5.5798955145292e-06,285.185760498047,11.3277282714844,0.525379419326782
1987-04-17,3.03571632684907e-05,284.493621826172,6.82662963867188,0.540275812149048
1987-04-18,3.22034393320791e-05,283.831848144531,9.62289428710938,0.47571536898613
1987-04-19,3.60927260771859e-05,283.883483886719,12.5185241699219,0.527333736419678
1987-04-20,5.43364549230319e-05,284.093444824219,8.82180786132812,0.487482398748398
1987-04-21,3.85309685952961e-05,284.379058837891,10.1820983886719,0.634416043758392
